peak_id,mz,rt,intensity,homologue_id,within_series_id
1186,203.09137,377.03999999999996,1186,NA,NA
576,203.1067,416.58,576,NA,NA
527,203.1067,436.38,527,NA,NA
650,203.1213,347.15999999999997,650,NA,NA
986,203.12777,366.06,986,8,1
414,203.12778,390.59999999999997,414,NA,NA
1176,203.15019,90.72,1176,NA,NA
710,203.15021,60.66,710,NA,NA
1751,204.00441,50.28,1751,NA,NA
1275,204.01756,50.519999999999996,1275,NA,NA
114,204.12288,108.12,114,NA,NA
93,204.12293,135,93,9,1
135,204.12295,119.7,135,NA,NA
1314,204.13818,411.47999999999996,1314,NA,NA
1611,204.94642,381.12,1611,NA,NA
1354,204.98118,244.73999999999998,1354,NA,NA
1153,205.01392,50.58,1153,NA,NA
1154,205.01393,50.519999999999996,1154,NA,NA
215,205.08591,446.34000000000003,215,NA,NA
85,205.09709,291.42,85,NA,NA
889,205.12226,383.09999999999997,889,NA,NA
255,205.1434,391.14,255,NA,NA
434,205.83967,53.76,434,NA,NA
1088,205.83968,59.28,1088,NA,NA
781,205.83969,47.46,781,NA,NA
1389,205.83973,41.279999999999994,1389,NA,NA
936,206.08117,339.96000000000004,936,NA,NA
453,206.10332,57.059999999999995,453,NA,NA
824,206.15393,328.44,824,NA,NA
648,206.85455,58.32,648,NA,NA
258,206.89382,45.72,258,NA,NA
184,206.97264,42.059999999999995,184,NA,NA
699,206.97266,936.54,699,NA,NA
511,207.01209,324.96000000000004,511,NA,NA
1217,207.06625,366.96,1217,NA,NA
669,207.12269,401.09999999999997,669,NA,NA
553,207.15908,370.79999999999995,553,NA,NA
460,207.17433,446.34000000000003,460,NA,NA
734,207.17434,438.42,734,NA,NA
1382,208.9549,42.36,1382,NA,NA
931,209.06348,369.35999999999996,931,NA,NA
828,209.06662,59.16,828,NA,NA
1628,209.08531,389.82,1628,NA,NA
815,209.09203,257.28000000000003,815,NA,NA
667,209.10197,266.34000000000003,667,NA,NA
448,209.1382,297.9,448,NA,NA
777,209.15352,384.48,777,NA,NA
143,209.20117,359.46,143,NA,NA
1312,209.83377,47.580000000000005,1312,NA,NA
476,210.11018,333.54,476,NA,NA
450,210.84225,45.96,450,NA,NA
472,211.09401,366.06,472,NA,NA
505,211.09644,378.90000000000003,505,NA,NA
893,211.14399,338.64,893,NA,NA
481,211.14401,334.08,481,NA,NA
517,211.1692,422.94,517,NA,NA
1325,211.91806,933.3,1325,NA,NA
1639,212.00224,296.82,1639,NA,NA
307,212.00226,284.46,307,NA,NA
1621,212.0208,48,1621,NA,NA
1730,212.83897,46.14,1730,NA,NA
1586,213.01537,352.2,1586,NA,NA
593,213.0226,351.90000000000003,593,NA,NA
918,213.04928,49.26,918,NA,NA
1775,214.05098,416.15999999999997,1775,NA,NA
7,214.08944,387.12,7,NA,NA
954,215.00195,322.32,954,NA,NA
90,215.03273,50.339999999999996,90,NA,NA
1386,215.03834,358.86,1386,5,4
1133,215.05247,392.52,1133,NA,NA
1573,215.06966,55.5,1573,NA,NA
1572,215.06971,55.56,1572,NA,NA
1560,215.08306,418.68,1560,NA,NA
1099,215.86847,59.28,1099,NA,NA
1028,215.86851,933.4200000000001,1028,NA,NA
1390,215.90485,55.620000000000005,1390,NA,NA
1276,216.1957,392.82,1276,NA,NA
101,216.92261,45.3,101,NA,NA
1359,216.98119,266.64,1359,NA,NA
1713,217.01758,271.38,1713,NA,NA
355,217.10698,336.47999999999996,355,NA,NA
755,217.14334,390.66,755,3,3
731,217.14337,404.04,731,8,2
228,218.13864,239.82,228,NA,NA
200,218.21139,363.29999999999995,200,10,1
412,218.81722,57.9,412,NA,NA
568,218.87401,45.6,568,NA,NA
1420,218.99686,279.3,1420,NA,NA
447,219.02643,49.26,447,NA,NA
880,219.04737,378.96,880,NA,NA
772,219.12398,333.72,772,NA,NA
1308,219.17026,59.22,1308,NA,NA
492,219.17432,441.12,492,NA,NA
441,219.19543,439.14,441,4,3
812,219.84539,55.74,812,NA,NA
1184,219.8454,47.52,1184,NA,NA
847,219.84541,59.339999999999996,847,NA,NA
1603,219.923,45.36,1603,NA,NA
14,220.11775,275.52,14,NA,NA
1750,220.94144,376.98,1750,NA,NA
1189,221.01229,91.08,1189,NA,NA
452,221.05287,47.22,452,NA,NA
266,221.94681,932.9399999999999,266,NA,NA
1010,222.11245,59.519999999999996,1010,NA,NA
775,222.11245,227.22,775,NA,NA
852,222.81109,57.96,852,NA,NA
1029,222.86776,45.9,1029,NA,NA
1037,222.86815000000001,45.660000000000004,1037,NA,NA
1673,222.96096,41.58,1673,NA,NA
1529,223.00706,343.2,1529,NA,NA
428,223.06364,408.78,428,NA,NA
726,223.06364,431.15999999999997,726,NA,NA
1569,223.09228,53.28,1569,NA,NA
1157,223.09643,399.96000000000004,1157,NA,NA
543,223.09646,405.59999999999997,543,NA,NA
1590,223.09741,397.68,1590,NA,NA
617,223.15397,324.53999999999996,617,NA,NA
1089,223.15399,315.06,1089,NA,NA
1766,223.85734,58.32,1766,NA,NA
269,224.1281,61.32,269,NA,NA
201,224.1281,228,201,NA,NA
1401,224.16449,265.56,1401,NA,NA
763,224.16452,433.26,763,NA,NA
762,224.16453,433.26,762,NA,NA
494,225.03447,50.04,494,NA,NA
739,225.04662,45.96,739,NA,NA
1112,225.05461,383.04,1112,NA,NA
1699,225.0629,233.82,1699,NA,NA
501,225.19613,415.14,501,NA,NA
1233,225.89733,933.3,1233,NA,NA
1746,225.98624,50.22,1746,NA,NA
1245,226.01791,324.53999999999996,1245,NA,NA
1694,226.01796,342.06,1694,NA,NA
1771,226.08224,227.94,1771,NA,NA
1629,226.11709,932.22,1629,NA,NA
1367,226.12271,410.03999999999996,1367,NA,NA
877,226.12837,226.14000000000001,877,NA,NA
878,226.1284,226.74,878,NA,NA
338,226.18015,401.46,338,NA,NA
1705,226.91799,42.48,1705,NA,NA
106,226.95145,44.76,106,NA,NA
1278,227.03838,367.02,1278,NA,NA
1285,227.0925,352.5,1285,NA,NA
398,227.12511,59.22,398,NA,NA
1096,227.12544,368.64,1096,NA,NA
822,227.12782,422.21999999999997,822,NA,NA
1011,227.12889,405.66,1011,NA,NA
842,227.12889,411.36,842,6,3
337,227.16416,422.28000000000003,337,NA,NA
512,227.1754,308.21999999999997,512,NA,NA
125,228.19576,403.5,125,NA,NA
759,228.19578,499.20000000000005,759,NA,NA
504,228.19578,505.2,504,NA,NA
1231,228.84594,58.14,1231,NA,NA
442,228.90282,45.24,442,NA,NA
851,228.96014,42.54,851,NA,NA
1656,229.01758,329.76000000000005,1656,NA,NA
1299,229.0489,49.98,1299,NA,NA
724,229.05396,374.04,724,5,5
933,229.11824,90.05999999999999,933,NA,NA
132,229.12229,475.68,132,NA,NA
554,229.15461,237.42,554,NA,NA
1534,229.87423,59.16,1534,NA,NA
1364,230.01281,302.52,1364,NA,NA
679,230.01283,257.52,679,NA,NA
1108,230.1751,388.44,1108,NA,NA
857,230.21145,436.62,857,NA,NA
340,230.24779,425.1,340,NA,NA
1205,230.99681,311.04,1205,NA,NA
1724,231.06283,50.339999999999996,1724,NA,NA
855,231.08384,226.79999999999998,855,NA,NA
196,231.10166,408,196,NA,NA
947,231.15903,404.1,947,NA,NA
1095,231.15903,426.96,1095,7,2
787,231.15905,422.52,787,8,3
144,231.15906,431.94,144,NA,NA
1379,231.17025,302.03999999999996,1379,NA,NA
1244,231.17029,283.5,1244,NA,NA
185,232.15431,270.12,185,9,2
1151,232.19066,390.23999999999995,1151,NA,NA
928,232.19069,373.5,928,NA,NA
503,232.89655,45.54,503,NA,NA
1608,232.92812,932.76,1608,NA,NA
1082,232.92814,42.66,1082,NA,NA
1053,232.97553,91.02,1053,NA,NA
1507,232.99476,329.04,1507,NA,NA
1545,233.13182,383.28,1545,NA,NA
131,234.20634,370.98,131,NA,NA
1268,234.98371,371.76,1268,NA,NA
960,235.02967,932.28,960,NA,NA
1593,235.06908,49.919999999999995,1593,NA,NA
1142,235.15401,360.66,1142,NA,NA
305,235.92607,227.58,305,NA,NA
1159,235.92608,59.339999999999996,1159,NA,NA
286,235.92609,751.1999999999999,286,NA,NA
186,235.9261,931.8,186,NA,NA
545,236.09617,373.14000000000004,545,NA,NA
655,236.10535,416.64,655,NA,NA
283,236.11284,337.08000000000004,283,NA,NA
1429,237.02268,362.03999999999996,1429,NA,NA
395,238.93165,44.82,395,NA,NA
1448,239.06733,415.38,1448,NA,NA
1339,239.09138,352.68,1339,NA,NA
770,239.09138,380.1,770,NA,NA
939,239.12765,416.64,939,NA,NA
856,239.12892,417.71999999999997,856,NA,NA
116,239.14891,284.28000000000003,116,2,3
646,239.16417,433.32000000000005,646,NA,NA
1544,240.10188,256.32,1544,NA,NA
214,240.15941,383.09999999999997,214,NA,NA
336,240.26858,515.22,336,NA,NA
907,240.91346,347.1,907,NA,NA
1783,241.02915,50.4,1783,NA,NA
471,241.03113,46.68,471,NA,NA
1347,241.05102,363.24,1347,NA,NA
1497,241.11937,321.36,1497,NA,NA
329,241.14454,425.28000000000003,329,NA,NA
538,241.8235,58.26,538,NA,NA
1732,242.13066,356.40000000000003,1732,NA,NA
693,242.92534,45,693,NA,NA
1522,242.94343,44.46,1522,NA,NA
1439,243.03324,347.46000000000004,1439,NA,NA
179,243.0622,233.46,179,NA,NA
1482,243.13385,315.12,1482,NA,NA
825,243.15904,403.62,825,NA,NA
1200,243.16013,421.44,1200,NA,NA
1160,243.19541,401.52,1160,NA,NA
652,243.19545,430.26,652,NA,NA
1410,243.20657,378.36,1410,NA,NA
1394,244.07913,56.519999999999996,1394,NA,NA
509,244.26347,430.62,509,NA,NA
1318,244.90813,382.5,1318,NA,NA
406,245.04885,344.46,406,NA,NA
1519,245.0784,393,1519,NA,NA
874,245.11475,383.09999999999997,874,NA,NA
105,245.17471,440.1,105,8,4
1100,245.18592,325.08,1100,NA,NA
1558,246.00782,250.61999999999998,1558,NA,NA
157,246.16995,299.7,157,NA,NA
605,246.20634,307.98,605,NA,NA
604,246.20635,307.8,604,NA,NA
280,246.2427,397.08000000000004,280,10,2
849,246.96512,41.82,849,NA,NA
1504,247.12885,259.8,1504,NA,NA
310,247.14404,291.06,310,NA,NA
546,247.22675,456.6,546,4,4
1413,248.14923,232.85999999999999,1413,NA,NA
1592,248.90049,42.66,1592,NA,NA
375,248.96041,45.06,375,NA,NA
1252,248.99885,48.779999999999994,1252,NA,NA
1121,249.03218,362.64,1121,NA,NA
757,249.15299,422.03999999999996,757,NA,NA
540,249.16966,392.88,540,NA,NA
407,249.18489,442.73999999999995,407,NA,NA
598,249.20608,418.97999999999996,598,3,4
1000,250.11867,420.12,1000,NA,NA
1684,250.93877,42.54,1684,NA,NA
1441,250.95589,41.76,1441,NA,NA
1035,251.00012,411.65999999999997,1035,NA,NA
348,251.04676,465.06,348,NA,NA
1692,251.0959,392.15999999999997,1692,NA,NA
483,251.12779,428.09999999999997,483,NA,NA
241,251.18529,358.44,241,NA,NA
584,251.2005,447.9,584,NA,NA
233,251.20056,452.82,233,NA,NA
1464,251.85226,58.44,1464,NA,NA
1583,252.07336,383.46,1583,NA,NA
1757,252.82722,46.2,1757,NA,NA
1199,253.08304,423.65999999999997,1199,NA,NA
490,253.12818,280.62,490,NA,NA
965,253.14348,435.48,965,6,4
278,254.1387,381.3,278,NA,NA
