CHROMATOGRAM
S:\raw data Q Exactive\@Experiments\DP00026-PhD Project\KU data\PCI-flowrate-IS-KU\Exp4\1uM\240815-PAN-001-Blank-1uM-05ulmin.raw
Data points: 117265
Time(min),ElutingPump_Pressure bar
0.176333333,355.55
0.1765,355.54
0.176666667,355.53
0.176833333,355.53
0.177,355.53
0.177166667,355.53
0.177333333,355.53
0.1775,355.52
0.177666667,355.51
0.177833333,355.49
0.178,355.47
0.178166667,355.45
0.178333333,355.45
0.1785,355.46
0.178666667,355.47
0.178833333,355.46
0.179,355.45
0.179166667,355.44
0.179333333,355.42
0.1795,355.4
0.179666667,355.39
0.179833333,355.41
0.18,355.42
0.180166667,355.42
0.180333333,355.4
0.1805,355.39
0.180666667,355.38
0.180833333,355.37
0.181,355.36
0.181166667,355.37
0.181333333,355.38
0.1815,355.39
0.181666667,355.38
0.181833333,355.38
0.182,355.38
0.182166667,355.37
0.182333333,355.36
0.1825,355.35
0.182666667,355.35
0.182833333,355.36
0.183,355.37
0.183166667,355.36
0.183333333,355.35
0.1835,355.33
0.183666667,355.32
0.183833333,355.3
0.184,355.3
0.184166667,355.31
0.184333333,355.32
0.1845,355.31
0.184666667,355.3
0.184833333,355.3
0.185,355.29
0.185166667,355.28
0.185333333,355.27
0.1855,355.28
0.185666667,355.29
0.185833333,355.31
0.186,355.31
0.186166667,355.31
0.186333333,355.31
0.1865,355.31
0.186666667,355.31
0.186833333,355.31
0.187,355.32
0.187166667,355.33
0.187333333,355.34
0.1875,355.33
0.187666667,355.33
0.187833333,355.31
0.188,355.3
0.188166667,355.28
0.188333333,355.29
0.1885,355.3
0.188666667,355.32
0.188833333,355.32
0.189,355.31
0.189166667,355.31
0.189333333,355.32
0.1895,355.31
0.189666667,355.29
0.189833333,355.27
0.19,355.28
0.190166667,355.28
0.190333333,355.28
0.1905,355.28
0.190666667,355.3
0.190833333,355.3
0.191,355.29
0.191166667,355.28
0.191333333,355.29
0.1915,355.29
0.191666667,355.27
0.191833333,355.24
0.192,355.23
0.192166667,355.24
0.192333333,355.24
0.1925,355.23
0.192666667,355.21
0.192833333,355.2
0.193,355.19
0.193166667,355.17
0.193333333,355.15
0.1935,355.16
0.193666667,355.17
0.193833333,355.16
0.194,355.15
0.194166667,355.17
0.194333333,355.19
0.1945,355.19
0.194666667,355.17
0.194833333,355.15
0.195,355.17
0.195166667,355.18
0.195333333,355.19
0.1955,355.19
0.195666667,355.21
0.195833333,355.22
0.196,355.22
0.196166667,355.22
0.196333333,355.24
0.1965,355.27
0.196666667,355.29
0.196833333,355.31
0.197,355.33
0.197166667,355.36
0.197333333,355.36
0.1975,355.35
0.197666667,355.34
0.197833333,355.36
0.198,355.36
0.198166667,355.34
0.198333333,355.32
0.1985,355.31
0.198666667,355.32
0.198833333,355.32
0.199,355.32
0.199166667,355.34
0.199333333,355.37
0.1995,355.38
0.199666667,355.38
0.199833333,355.38
0.2,355.4
0.200166667,355.41
0.200333333,355.4
0.2005,355.39
0.200666667,355.39
0.200833333,355.4
0.201,355.4
0.201166667,355.39
0.201333333,355.39
0.2015,355.39
0.201666667,355.38
0.201833333,355.37
0.202,355.36
0.202166667,355.37
0.202333333,355.37
0.2025,355.36
0.202666667,355.35
0.202833333,355.36
0.203,355.37
0.203166667,355.36
0.203333333,355.34
0.2035,355.33
0.203666667,355.34
0.203833333,355.34
0.204,355.33
0.204166667,355.31
0.204333333,355.31
0.2045,355.3
0.204666667,355.28
0.204833333,355.27
0.205,355.29
0.205166667,355.31
0.205333333,355.31
0.2055,355.3
0.205666667,355.3
0.205833333,355.31
0.206,355.3
0.206166667,355.29
0.206333333,355.28
0.2065,355.29
0.206666667,355.3
0.206833333,355.3
0.207,355.29
0.207166667,355.29
0.207333333,355.3
0.2075,355.3
0.207666667,355.3
0.207833333,355.32
0.208,355.35
0.208166667,355.36
0.208333333,355.36
0.2085,355.37
0.208666667,355.4
0.208833333,355.41
0.209,355.4
0.209166667,355.38
0.209333333,355.4
0.2095,355.41
0.209666667,355.41
0.209833333,355.4
